gower_sparse_1.2,gower_sparse_1.4,gower_sparse_1.6,gower_sparse_1.8,gower_sparse_2.0,gower_sparse_2.2,gower_sparse_2.4,gower_sparse_2.6,gower_sparse_2.8,gower_sparse_3.0,gower_spectral,gower_unweighted,wishart_sparse_1.2,wishart_sparse_1.4,wishart_sparse_1.6,wishart_sparse_1.8,wishart_sparse_2.0,wishart_sparse_2.2,wishart_sparse_2.4,wishart_sparse_2.6,wishart_sparse_2.8,wishart_sparse_3.0,wishart_spectral,wishart_unweighted,podani_sparse_1.2,podani_sparse_1.4,podani_sparse_1.6,podani_sparse_1.8,podani_sparse_2.0,podani_sparse_2.2,podani_sparse_2.4,podani_sparse_2.6,podani_sparse_2.8,podani_sparse_3.0,podani_spectral,podani_unweighted,huang_sparse_1.2,huang_sparse_1.4,huang_sparse_1.6,huang_sparse_1.8,huang_sparse_2.0,huang_sparse_2.2,huang_sparse_2.4,huang_sparse_2.6,huang_sparse_2.8,huang_sparse_3.0,huang_spectral,huang_unweighted
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044626545067205924,0.00044626545067205924,0.00044626545067205924,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.318885855097403,0.4105513104428563,0.44191728145998493,0.4587849817981837,0.38574812528912245,0.3837179331153001,0.37980452038911,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.22587679478249842,0.6000083269140657,0.2194810722368147,0.31888362308210405,0.4105508821816868,0.3544239976911376,0.4587850623814298,0.38574812787184026,0.3824216570061357,0.38997091078504914,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.00399798394690035,0.012145656995317637,0.012145656995317637,0.012145656995317637,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.19017771700793043,0.5109246983799177,0.4886189492092382,0.47431351723012044,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.19017728364059222,0.5109249868358898,0.48075359715324745,0.34801871536645856,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0021945743534499407,0.010378687035224262,0.010378687035224262,0.010378687035224262,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.06239023904194826,0.10083990765895898,0.1449579096943147,0.1646972589013211,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.06238956116726617,0.1008392595796789,0.15861318301069713,0.1354865840807182,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008180528159954507,0.008180528159954507,0.008180528159954507,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04175865707629263,0.09544638317467707,0.12009059180052034,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041757874069613246,0.11220215055738474,0.20785989441568858,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.00035731236148765056,0.008578548697040386,0.008578548697040386,0.008578548697040386,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.015538897062594575,0.010906757050160094,0.05107998950355018,0.10325788670784572,0.12712824872920703,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.010905980667472804,0.051079227784557334,0.1195244847585583,0.24227865584351574,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007456854456161999,0.007456854456161999,0.007456854456161999,0.20412414523193154,0.0,0.0,0.0,0.0
0.9739126920986267,0.9156955665645735,0.8253170525912085,0.6448177427302809,0.592759048633217,0.5287168385830783,0.4301996505908712,0.42232589511093466,0.4143709948345656,0.40742093652181094,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.9741558774543143,0.7999937547467377,0.6681770463800052,0.6448185846848052,0.5927594927754941,0.3978165837543791,0.4301996764792171,0.4223259812285016,0.41115517306288574,0.41436219944860403,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.004656566972494871,0.012790932714532625,0.012790932714532625,0.012790932714532625,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.06459964971123329,0.27711390243921347,0.2680646823147308,0.32695912770334823,0.33445132172293834,0.33541850589828304,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.06459756504719452,0.5365249036155664,0.26806439797557174,0.32695899602610445,0.3362402026878435,0.3517135876235088,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.003040884316246632,0.01120789648748651,0.01120789648748651,0.01120789648748651,0.20412414523193154,0.0,0.0,0.0,0.0
0.22692304459707333,0.39047370152739,0.4836415754006126,0.16048579828052686,0.3219999376654347,0.39973345317662196,0.40993121236459196,0.405705928629661,0.40044305825438603,0.3948727709913719,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0014187392936849343,0.16048207234268766,0.32199908542379535,0.37471008947083634,0.4099311994715011,0.40570597679121295,0.398099427016074,0.40329810974554825,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.004459607562971279,0.012597953060187959,0.012597953060187959,0.012597953060187959,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.09503640244392328,0.29144911948086916,0.6758448036563465,0.6101043002288534,0.5369797157344149,0.5695289852231574,0.35464625372490555,0.3576538074650236,0.3563224373696298,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.710890625060907,0.6758459382371929,0.6101048274195102,0.5365249036155664,0.569529277702927,0.3546461852784134,0.35798971021608167,0.369202649640213,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.004010293909995571,0.012157718223714175,0.012157718223714175,0.012157718223714175,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02163669797513233,0.05359286313111375,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04301455049811184,0.10841651303080188,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005508966070120491,0.005508966070120491,0.005508966070120491,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034072970220230705,0.00034072970220230705,0.00034072970220230705,0.20412414523193154,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20412414523193154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003166072454091796,0.0003166072454091796,0.0003166072454091796,0.20412414523193154,0.0,0.0,0.0,0.0
